MsgID.STATE,1530000740.7401211,True,True
MsgID.GLOBAL_HOME,1530000740.7411187,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000740.7411187,-122.4019358,37.7967198,0.2100000
MsgID.LOCAL_VELOCITY,1530000740.7411187,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000740.7411187,471.0408936,-398.4490356,-0.2104040
MsgID.LOCAL_VELOCITY,1530000740.7411187,0.0000041,0.0000543,0.0000178
MsgID.GLOBAL_POSITION,1530000740.7411187,-122.4019361,37.7967196,0.2140000
MsgID.LOCAL_VELOCITY,1530000740.7411187,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000740.7421155,471.0148621,-398.4730835,-0.2141545
MsgID.LOCAL_VELOCITY,1530000740.7421155,0.0000070,0.0000553,0.0000129
MsgID.GLOBAL_POSITION,1530000740.7421155,-122.4019363,37.7967195,0.2030000
MsgID.LOCAL_VELOCITY,1530000740.7421155,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000740.7421155,471.0062256,-398.4916992,-0.2032378
MsgID.LOCAL_VELOCITY,1530000740.7421155,-0.0000101,0.0000389,0.0000155
MsgID.GLOBAL_POSITION,1530000740.7421155,-122.4019349,37.7967185,0.1790000
MsgID.LOCAL_VELOCITY,1530000740.7421155,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000740.7431135,470.8932495,-398.3681946,-0.1795388
MsgID.LOCAL_VELOCITY,1530000740.7431135,-0.0000036,0.0000430,0.0000135
MsgID.STATE,1530000740.8593111,True,True
MsgID.GLOBAL_HOME,1530000759.6087763,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6087763,-122.4019352,37.7967180,0.1470000
MsgID.LOCAL_VELOCITY,1530000759.6087763,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6097741,470.8396606,-398.3968811,-0.1475937
MsgID.LOCAL_VELOCITY,1530000759.6097741,-0.0000069,0.0000181,0.0000070
MsgID.GLOBAL_POSITION,1530000759.6097741,-122.4019374,37.7967197,0.1130000
MsgID.LOCAL_VELOCITY,1530000759.6097741,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6097741,471.0303345,-398.5868530,-0.1135653
MsgID.LOCAL_VELOCITY,1530000759.6097741,0.0000067,0.0000217,0.0000026
MsgID.GLOBAL_POSITION,1530000759.6097741,-122.4019349,37.7967201,0.0810000
MsgID.LOCAL_VELOCITY,1530000759.6097741,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6097741,471.0760498,-398.3684387,-0.0813804
MsgID.LOCAL_VELOCITY,1530000759.6097741,-0.0000028,0.0000036,-0.0000003
MsgID.GLOBAL_POSITION,1530000759.6097741,-122.4019342,37.7967199,0.0540000
MsgID.LOCAL_VELOCITY,1530000759.6097741,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1530000759.6097741,471.0539246,-398.3074341,-0.0543613
MsgID.LOCAL_VELOCITY,1530000759.6097741,-0.0032119,0.0003382,-0.0379930
MsgID.STATE,1530000759.6107714,True,True
MsgID.GLOBAL_HOME,1530000759.6107714,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6107714,-122.4019346,37.7967190,0.0490000
MsgID.LOCAL_VELOCITY,1530000759.6107714,-0.0100000,0.0000000,-0.1400000
MsgID.LOCAL_POSITION,1530000759.6107714,470.9482117,-398.3426514,-0.0496801
MsgID.LOCAL_VELOCITY,1530000759.6107714,-0.0188937,-0.0004483,-0.1463023
MsgID.GLOBAL_POSITION,1530000759.6107714,-122.4019368,37.7967185,0.0580000
MsgID.LOCAL_VELOCITY,1530000759.6107714,-0.0100000,0.0000000,-0.1000000
MsgID.LOCAL_POSITION,1530000759.6107714,470.8924255,-398.5357971,-0.0585972
MsgID.LOCAL_VELOCITY,1530000759.6107714,-0.0191969,0.0047109,-0.1081210
MsgID.GLOBAL_POSITION,1530000759.6107714,-122.4019368,37.7967206,0.0600000
MsgID.LOCAL_VELOCITY,1530000759.6107714,0.0000000,0.0200000,-0.1300000
MsgID.LOCAL_POSITION,1530000759.6107714,471.1356812,-398.5386353,-0.0608708
MsgID.LOCAL_VELOCITY,1530000759.6107714,-0.0096731,0.0205769,-0.1340623
MsgID.GLOBAL_POSITION,1530000759.6117921,-122.4019364,37.7967193,0.0680000
MsgID.LOCAL_VELOCITY,1530000759.6117921,-0.0200000,0.0200000,-0.1000000
MsgID.LOCAL_POSITION,1530000759.6117921,470.9865417,-398.4992065,-0.0685585
MsgID.LOCAL_VELOCITY,1530000759.6117921,-0.0247644,0.0285573,-0.1062914
MsgID.STATE,1530000759.6117921,True,True
MsgID.GLOBAL_HOME,1530000759.6117921,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6127698,-122.4019360,37.7967184,0.0760000
MsgID.LOCAL_VELOCITY,1530000759.6127698,-0.0200000,0.0200000,-0.0300000
MsgID.LOCAL_POSITION,1530000759.6127698,470.8880920,-398.4657898,-0.0760933
MsgID.LOCAL_VELOCITY,1530000759.6127698,-0.0291031,0.0280781,-0.0311687
MsgID.GLOBAL_POSITION,1530000759.6127698,-122.4019360,37.7967195,0.0810000
MsgID.LOCAL_VELOCITY,1530000759.6127698,-0.0100000,0.0200000,0.0100000
MsgID.LOCAL_POSITION,1530000759.6137674,471.0032654,-398.4667053,-0.0810763
MsgID.LOCAL_VELOCITY,1530000759.6137674,-0.0181046,0.0270906,0.0145990
